Category,KPI Code,Individual KPI,Weight,Data Source,Rubrics,Weight,
Infrastructure & Sustainability,1.a.1,Number & quality of laboratories,11,"NAAC SSR, Institute website","Excellent (7–8): ?10 well-equipped labs, upgraded in last 3 yrs, industry-supported 

Good (5–6): 6–9 functional labs, partial upgrades 

Average (3–4): 3–5 basic labs 

Poor (0–2): <3 outdated labs",11,110
Infrastructure & Sustainability,1.a.2,Availability & quality of classrooms,8,"NAAC SSR, AICTE disclosure","Excellent: Adequate classrooms, smart boards, AC/ventilation 

Good: Adequate rooms, partial ICT 

Average: Congested/basic rooms 

Poor: Inadequate classrooms",8,
Infrastructure & Sustainability,1.a.3,ICT-enabled learning infrastructure,11,"NAAC, Website","Excellent: LMS + smart classrooms + simulation tools 

Good: LMS + smart classrooms 

Average: Limited ICT usage 

Poor: Minimal ICT",11,
Infrastructure & Sustainability,1.a.4,Workshops / practical training facilities,8,Institute website,"Excellent: Regular hands-on workshops & industry tools 

Good: Periodic workshops 

Average: Occasional exposure 

Poor: No structured workshops",8,
Infrastructure & Sustainability,1.a.5,Computer availability & computing infrastructure,7,AICTE disclosure,"Excellent: ?1 computer per 2 students, high-speed internet 

Good: 1:3 ratio 

Average: Limited systems 

Poor: Inadequate infrastructure",7,
Infrastructure & Sustainability,1.b.1,Number of physical books,6,NAAC SSR,"Excellent: ?50,000 volumes 

Good: 25k–49k 

Average: 10k–24k 

Poor: <10k",6,
Infrastructure & Sustainability,1.b.2,Subscription to academic journals,6,Library records,"Excellent: ?25 national/international journals 
Good: 15–24 
Average: 5–14 
Poor: <5",6,
Infrastructure & Sustainability,1.b.3,Access to e-resources,8,Library website,"Excellent: IEEE + Springer + Elsevier + NDL/DELNET 
Good: 2–3 major databases 
Average: Limited access 
Poor: No e-resources",8,
Infrastructure & Sustainability,1.b.4,Digital library access,5,Institute IT policy,"Excellent: 24×7 remote & on-campus access 
Good: On-campus only 
Average: Partial access 
Poor: No digital library",5,
Infrastructure & Sustainability,1.b.5,Library automation / ILMS,5,NAAC SSR,"Excellent: Fully automated ILMS with RFID 
Good: ILMS without RFID 
Average: Partial automation 
Poor: Manual",5,
Infrastructure & Sustainability,1.c.1,Hostel accommodation capacity,5,Institute website,"Excellent: ?70% students accommodated 
Good: 50–69% 
Average: 30–49% 
Poor: <30%",5,
Infrastructure & Sustainability,1.c.2,Safety & security arrangements,5,NAAC SSR,"Excellent: CCTV, access control, guards, fire safety 
Good: CCTV + guards 
Average: Basic security 
Poor: Inadequate",5,
Infrastructure & Sustainability,1.c.3,Hygiene & sanitation standards,4,NAAC SSR,"Excellent: Certified cleanliness & audits 
Good: Regular maintenance 
Average: Basic hygiene 
Poor: Poor sanitation",4,
Infrastructure & Sustainability,1.c.4,Food quality & mess facilities,3,Student feedback,"Excellent: Hygienic, varied menus, feedback-based 
Good: Adequate quality 
Average: Inconsistent 
Poor: Poor quality",3,
Infrastructure & Sustainability,1.c.5,Recreation & common facilities,3,Institute website,"Excellent: Sports + gym + clubs 
Good: Sports/gym 
Average: Limited facilities 
Poor: None",3,
Infrastructure & Sustainability,1.d.1,Smart campus / ERP implementation,5,ERP vendor / website,"Excellent: End-to-end ERP (academic, finance, HR) 
Good: Partial ERP 
Average: Standalone systems 
Poor: Manual",5,
Infrastructure & Sustainability,1.d.2,Solar energy utilization,4,Green audit,"Excellent: ?25% power from solar 
Good: 10–24% 
Average: <10% 
Poor: None",4,
Infrastructure & Sustainability,1.d.3,Water management & conservation,3,NAAC SSR,"Excellent: Rainwater harvesting + reuse 
Good: One system 
Average: Basic measures 
Poor: None",3,
Infrastructure & Sustainability,1.d.4,Sustainability initiatives,3,Green audit,"Excellent: Green campus, ISO, audits 
Good: Some initiatives 
Average: Minimal 
Poor: None",3,
Graduate Outcome & Employability,2.a.1,% of eligible students placed,65,"NIRF, AICTE Placement","Excellent: ?85% 
Good: 70–84% 
Average: 50–69% 
Poor: <50%",65,160
Graduate Outcome & Employability,2.b.1,Median compensation,55,NIRF,"Excellent: ??6 LPA 
Good: ?4–5.9 LPA 
Average: ?2–3.9 LPA 
Poor: <?2 LPA",55,
Graduate Outcome & Employability,2.c.1,% students in higher education,40,"NAAC, Alumni data","Excellent: ?25% 
Good: 15–24% 
Average: 5–14% 
Poor: <5%",40,
"Innovation, Startup & IP",,Incubation / IIC performance,30,AICTE–IIC,"Excellent: 4+ star IIC, active incubation 
Good: 3-star 
Average: 2-star 
Poor: No IIC",35,110
"Innovation, Startup & IP",,Start-up funding raised,30,Institute records,"Excellent: ??5 Cr 
Good: ?1–5 Cr 
Average: <?1 Cr 
Poor: None",20,
"Innovation, Startup & IP",,IP (Patents granted/licensed),30,"IPO, NAAC","Excellent: ?10 granted/licensed 
Good: 5–9 
Average: 1–4 
Poor: None",40,
"Innovation, Startup & IP",,TRL progression,20,R&D cell,"Excellent: Multiple TRL 6–9 prototypes 
Good: TRL 4–5 
Average: TRL 2–3 
Poor: No progression",15,
